nombre,latitud,longitud,administracion_zonal,parroquia,area_km2,densidad_puntos,nivel_necesidad
ADMINISTRACION ZONAL QUITUMBE,-0.2959424,-78.5481804,QUITUMBE,QUITUMBE,10.0,6.2,2
CANCHA CUENDINA,-0.37459,-78.4809767,LOS CHILLOS,AMAGUAÑA,50.0,0.92,3
PARQUE COMITE DEL PUEBLO PUENGASI,-0.256217,-78.491795,MANUELA SAENZ,PUENGASI,15.0,3.2,3
PARQUE CENTRAL DE TABABELA,-0.1856544,-78.3451494,TUMBACO,TABABELA,10.0,0.5,4
PLAZA DE LOS PRESIDENTES,-0.206125,-78.49591,LA MARISCAL,MARISCAL SUCRE,2.8,10.714285714285715,1
BOULEVARD BARRIO INDEPENDENCIA,-0.058116,-78.455181,LA DELICIA,POMASQUI,8.0,2.5,3
PARQUE LA VICENTINA,-0.21671,-78.48906,MANUELA SAENZ,ITCHIMBIA,8.0,6.625,1
LIGA BARRIAL PLAN TECHO,-0.0988254,-78.5344441,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
PARADA 7,-0.1282002,-78.4165938,CALDERON,CALDERON,30.0,4.566666666666666,2
ESTADIO CALACALI,7.89e-06,-78.5116,CHOCO ANDINO,CALACALI,100.0,0.06,5
UPC PATAGONIA,-0.230713,-78.522398,MANUELA SAENZ,CENTRO HISTORICO,3.5,17.428571428571427,1
SULTANA DE LOS ANDES,-0.34927,-78.567661,QUITUMBE,GUAMANI,12.0,4.083333333333333,2
PARQUE PRIMAVERA DE CORNEJO,-0.325512,-78.561162,QUITUMBE,GUAMANI,12.0,4.083333333333333,2
PARQUE JORGE CORDOVEZ,-0.1435686,-78.4942585,EUGENIO ESPEJO,LA CONCEPCION,2.5,4.8,2
PLAZA COTOCOLLAO,-0.1145793,-78.4975033,LA DELICIA,COTOCOLLAO,10.0,1.8,3
IGLESIA DE ANGAMARCA,-0.2944264,-78.426337,LOS CHILLOS,ALANGASI,40.0,0.55,4
PARQUE ALANGASI,-0.308051,-78.415003,LOS CHILLOS,ALANGASI,40.0,0.55,4
LIGA BARRIAL SAN FRANCISCO FLQ,-0.2468427,-78.4950042,MANUELA SAENZ,PUENGASI,15.0,3.2,3
PARQUE LA VICTORIA,-0.3442402,-78.5582715,QUITUMBE,GUAMANI,12.0,4.083333333333333,2
PARQUE SAUSALITO,-0.304537,-78.485793,LOS CHILLOS,CONOCOTO,50.0,0.72,3
BELLAVISTA,-0.188543,-78.470318,EUGENIO ESPEJO,IÑAQUITO,5.5,8.909090909090908,1
CANCHA GAETANA STERNI,-0.180663,-78.514855,LA MARISCAL,BELISARIO QUEVEDO,2.5,11.2,1
CANCHA SAN PABLO,-0.2213597,-78.4844072,MANUELA SAENZ,ITCHIMBIA,8.0,6.625,1
CANCHA LA PLAYITA,-0.370966,-78.504176,LOS CHILLOS,AMAGUAÑA,50.0,0.92,3
PARQUE DE LUMBISI,-0.2322568,-78.4484891,TUMBACO,CUMBAYA,26.51,0.6035458317615994,4
CANCHA BUENAVENTURA,-0.2815118,-78.5816719,QUITUMBE,CHILLOGALLO,18.0,1.7222222222222223,3
CASA COMUNAL LEOPOLDO CHAVEZ,-0.224126,-78.397083,TUMBACO,TUMBACO,57.0,0.47368421052631576,4
PARQUE YAGUACHI,-0.2346598,-78.5287457,ELOY ALFARO,CHILIBULO,5.0,5.2,2
PARQUE RIO PALORA,-0.101864,-78.453377,CALDERON,CALDERON,30.0,4.566666666666666,2
CASA COMUNAL RANCHO LOS PINOS,-0.2913,-78.51802,ELOY ALFARO,LA ARGELIA,7.0,5.0,2
CENTRO DE SALUD TOCTIUCO,-0.2125365,-78.5239823,MANUELA SAENZ,SAN JUAN,4.2,9.285714285714285,1
BILOXI,-0.252003,-78.548254,ELOY ALFARO,LA MENA,4.0,6.25,2
CANCHA LA ISLA,-0.213438,-78.32636,TUMBACO,YARUQUI,80.0,0.1875,4
PARQUE PRIMICIAS DE LA CULTURA DE QUITO,-0.2923987,-78.5601015,QUITUMBE,LA ECUATORIANA,8.0,4.375,2
PARQUE EL CONDE,-0.3185677,-78.53615,QUITUMBE,TURUBAMBA,6.0,9.0,1
PARQUE CUMANDA,-0.2283117,-78.51192,MANUELA SAENZ,CENTRO HISTORICO,3.5,17.428571428571427,1
ESTADIO DE NAYON,-0.1566578,-78.4344917,EUGENIO ESPEJO,NAYON,20.0,0.3,4
CANCHAS DE FUTBOL EL CONDE,-0.31731,-78.5354159,QUITUMBE,TURUBAMBA,6.0,9.0,1
CASA COMUNAL PONCEANO BAJO,-0.1043587,-78.4854926,LA DELICIA,PONCEANO,6.0,2.0,3
PARQUE VARGAS CRUZ,-0.266311,-78.499932,LOS CHILLOS,CONOCOTO,50.0,0.72,3
COLEGIO LIGDANO CHAVEZ,-0.0865,-78.4681542,LA DELICIA,CARCELEN,7.5,2.933333333333333,3
UNIDAD EDUCATIVA LUCILA SANTOS,-0.246375,-78.483384,MANUELA SAENZ,PUENGASI,15.0,3.2,3
PRADOS DEL CARMEN,-0.127708,-78.455765,CALDERON,LLANO CHICO,15.0,1.2666666666666666,3
CENTRO DE SALUD GUANGOPOLO,-0.257302,-78.451137,LOS CHILLOS,GUANGOPOLO,50.0,0.12,4
