nombre,lat,lng,az,parroquia
PARQUE CAPULIES,-0.089247,-78.415103,CALDERON,CALDERON
PARQUE SAN JUAN DE CALDERON,-0.067264,-78.432029,CALDERON,CALDERON
PARQUE UTILCAR,-0.091113,-78.424034,CALDERON,CALDERON
PARQUE ALVARO PAMBA,-0.135923,-78.435512,CALDERON,LLANO CHICO
MERCADO COPROCARCHI,-0.099949,-78.437837,CALDERON,CALDERON
CANCHA NUEVA GENERACION,-0.071302,-78.414284,CALDERON,CALDERON
CANCHA BELLAVISTA ALTA,-0.045,-78.4174,CALDERON,CALDERON
PARQUE CARAPUNGO,-0.100885,-78.453137,CALDERON,CALDERON
CARCELEN,-0.083801,-78.468755, LA DELICIA ,CARCELEN
ESTADIO DE POMASQUI,-0.053771,-78.455571, LA DELICIA ,POMASQUI
CASA DE LA JUVENTUD,-0.0089,-78.4506, LA DELICIA ,SAN ANTONIO
HACIENDA CATZUQUI ALARCON,-0.0634,-78.516527,CHOCO ANDINO,NONO
CANCHA DEL FLAMENGO,-0.0765,-78.4589, LA DELICIA ,CARCELEN
UPC CARCELEN BAJO,-0.0744,-78.4617, LA DELICIA ,CARCELEN
PARQUE CENTRAL,-0.083075,-78.475456, LA DELICIA ,CARCELEN
CANCHAS LA ROLDOS,-0.0864,-78.5067, LA DELICIA ,EL CONDADO
CANCHA MENA DEL HIERRO,-0.111748,-78.50714, LA DELICIA ,EL CONDADO
PARQUE COTOCOLLAO,-0.112327,-78.498902, LA DELICIA ,COTOCOLLAO
PARQUE ARGELIA ALTA,-0.2852,-78.5233,ELOY ALFARO,LA ARGELIA
PARQUE EL CALZADO,-0.257038,-78.529996,ELOY ALFARO,SAN BARTOLO
PARQUE ORIENTE QUITEÑO,-0.272729,-78.511186,ELOY ALFARO,LA ARGELIA
CDI RINCONCITOS ENCANTADOS,-0.2778,-78.5169,ELOY ALFARO,LA ARGELIA
LIGA BARRIAL LA ARGELIA,-0.27808,-78.521358,ELOY ALFARO,LA ARGELIA
MERCADO QUITO SUR,-0.2601,-78.5315,ELOY ALFARO,SAN BARTOLO
JARDIN DEL OESTE,-0.238076,-78.544895,ELOY ALFARO,CHILIBULO
PARQUE SANTIAGO ALTO,-0.247174,-78.544297,ELOY ALFARO,CHILIBULO
LIGA BARRIAL 4 DE DICIEMBRE,-0.2446,-78.5398,ELOY ALFARO,CHILIBULO
LIGA SAN PATRICIO DE PUENGASI,-0.254044,-78.502662,ELOY ALFARO,LA FERROVIARIA
PARQUE CIUDADELA EL RECREO,-0.262435,-78.522066,ELOY ALFARO,LA FERROVIARIA
PARQUE CIUDADELA MONTUFAR,-0.2417,-78.509,ELOY ALFARO,CHIMBACALLE
TROLE QUIMIAG,-0.274686,-78.540034,ELOY ALFARO,SOLANDA
CENTRO DE SALUD CHIRIYACU BAJO,-0.2483,-78.5123,ELOY ALFARO,CHIMBACALLE
ESTADIO COMUNA CENTRAL TUMBACO,-0.2292,-78.4091, TUMBACO,TUMBACO
COMUNA LEOPOLDO CHAVEZ,-0.230995,-78.403347, TUMBACO,TUMBACO
DISTRITO DE EDUCACION PIFO,-0.2281,-78.344, TUMBACO,PIFO
INGRESO A PIFO,-0.2236,-78.3411, TUMBACO,PIFO
PARADA PIFO 2,-0.220778,-78.338595, TUMBACO,PIFO
PARADA ENTRADA SAN CARLOS YARUQUI,-0.176177,-78.32819, TUMBACO,YARUQUI
SAN VICENTE,-0.1655,-78.3235, TUMBACO,YARUQUI
COLEGIO YARUQUI,-0.158139,-78.321194, TUMBACO,YARUQUI
COLISEO EL QUINCHE,-0.1114,-78.2935, TUMBACO,EL QUINCHE
COLEGIO CARDENAL DE LA TORRE,-0.1119348,-78.2984144, TUMBACO,EL QUINCHE
MERCADO YARUQUI,-0.163135,-78.321292, TUMBACO,YARUQUI
ESCUELA PATRICIO ESPINOZA,-0.237889,-78.540111,ELOY ALFARO,CHILIBULO
YUNGUILLA,0.024371,-78.555817,CHOCO ANDINO,CALACALI
